model,auc,ci_lo,ci_hi,motion_controlled_auc
Logistic-L2 (LOSO),0.71849551341367,0.6875740803514419,0.7501316392352424,0.7052998798140842
SVM-RBF (LOSO),0.7195396063999886,0.6894017437645038,0.750228269164789,0.7030096113279657
BrainNetCNN (LOSO),0.6810056618556848,0.6487844080183538,0.7114466654454865,
ST-GCN (original CV*),0.59,,,
